struct_vol,struct_num,first_dep_col_ind,permitted_farthest_J,rank,independent_configs,latt_abc_var
11,12,134,J133,200,100.0,0.5144972263200828
11,14,134,J133,200,100.0,0.5144972263200828
11,9,134,J133,200,100.0,28.405014854701705
11,8,134,J133,200,100.0,30.740084681791704
11,10,134,J133,200,100.0,47.21090917095586
12,17,134,J133,200,100.0,0.5144972263200828
14,18,134,J133,200,100.0,9.69001068414304
14,27,134,J133,200,100.0,9.69001068414304
15,17,134,J133,200,100.0,5.2648487965650235
15,29,134,J133,200,100.0,5.2648487965650235
15,39,134,J133,199,100.0,43.39378012685918
12,10,131,J130,200,100.0,28.405014854701705
16,62,131,J130,186,100.0,5.738868596768583
12,42,129,J128,137,100.0,28.405014854701705
16,32,129,J128,200,100.0,62.20597186708244
16,67,127,J126,165,100.0,67.77302533264763
12,21,118,J117,170,100.0,29.182975869111612
10,9,111,J110,165,100.0,21.967366367140276
10,20,111,J110,167,100.0,21.967366367140276
12,44,111,J110,153,100.0,3.9634722397650335
12,41,111,J110,177,100.0,35.59933497083875
12,11,111,J110,176,100.0,46.07712203621398
14,13,111,J110,200,100.0,63.31628871349682
14,38,111,J110,200,100.0,63.31628871349682
16,61,111,J110,156,100.0,1.6219614311133963
16,15,111,J110,200,100.0,95.03499034215646
16,55,111,J110,198,100.0,95.03499034215646
9,8,107,J106,192,100.0,21.313235255266964
12,45,106,J105,143,100.0,0.5144972263200828
12,61,106,J105,143,100.0,0.5144972263200828
12,50,106,J105,122,100.0,33.08173872025347
12,57,104,J103,130,100.0,25.66426594889064
9,7,102,J101,200,100.0,21.967366367140276
15,24,102,J101,200,100.0,9.69001068414304
15,35,102,J101,200,100.0,9.69001068414304
16,59,102,J101,158,100.0,3.9634722397650335
16,82,102,J101,158,100.0,3.9634722397650335
8,7,99,J98,140,100.0,12.106484937664627
10,27,99,J98,127,100.0,43.61703393609722
10,10,99,J98,121,100.0,49.66357008313533
12,47,99,J98,139,100.0,5.828062636518652
12,53,99,J98,139,100.0,5.828062636518652
12,43,99,J98,136,100.0,6.1724788314869885
12,65,99,J98,136,100.0,6.1724788314869885
12,30,99,J98,145,100.0,8.50044622931582
12,35,99,J98,145,100.0,8.50044622931582
12,18,99,J98,141,100.0,9.258474261449097
12,33,99,J98,141,100.0,9.258474261449097
12,40,99,J98,137,100.0,75.52503387996205
12,12,99,J98,149,100.0,82.33700778483485
14,25,99,J98,183,100.0,11.640000176625515
14,34,99,J98,183,100.0,11.640000176625515
14,47,99,J98,189,100.0,12.789232010955262
14,48,99,J98,189,100.0,12.789232010955262
14,31,99,J98,187,100.0,15.17813645568468
14,42,99,J98,187,100.0,15.17813645568468
14,21,99,J98,187,100.0,16.69945391242619
14,41,99,J98,187,100.0,16.69945391242619
14,46,99,J98,183,100.0,125.3858018110335
14,14,99,J98,177,100.0,132.86259237910232
16,60,99,J98,187,100.0,12.134969380488215
16,28,99,J98,200,100.0,13.425968466287246
16,38,99,J98,200,100.0,13.425968466287246
16,44,99,J98,196,100.0,23.247922180933454
16,49,99,J98,196,100.0,23.247922180933454
16,57,99,J98,164,100.0,25.46575657914715
16,85,99,J98,164,100.0,25.46575657914715
16,70,99,J98,168,100.0,27.70283802637692
16,71,99,J98,168,100.0,27.70283802637692
16,24,99,J98,196,100.0,30.248784305125383
16,47,99,J98,196,100.0,30.248784305125383
16,54,99,J98,193,100.0,179.12257401576207
16,16,99,J98,200,100.0,187.03558077631405
16,64,94,J93,147,100.0,9.690010684143044
8,10,93,J92,136,100.0,17.091984457458693
15,27,89,J88,200,100.0,3.423232941914223
16,80,88,J87,129,100.0,1.6219614311133963
16,72,88,J87,178,100.0,15.012455367223296
16,76,88,J87,132,100.0,56.81002970940339
7,6,82,J81,171,100.0,10.125235197460597
7,5,82,J81,171,100.0,23.8529099542517
8,11,82,J81,142,100.0,2.8694342983842898
8,6,82,J81,147,100.0,35.191503175448524
9,9,82,J81,200,100.0,4.598968967595097
9,12,82,J81,200,100.0,4.598968967595097
9,6,82,J81,191,100.0,53.972934357625206
10,15,82,J81,124,100.0,1.7130646984120361
10,23,82,J81,124,100.0,1.7130646984120361
10,13,82,J81,200,100.0,10.205283027433369
10,16,82,J81,200,100.0,10.205283027433369
10,7,82,J81,200,100.0,74.30329444113636
11,11,82,J81,200,100.0,13.810564564888494
11,13,82,J81,200,100.0,13.810564564888494
11,7,82,J81,200,100.0,103.15636880760307
12,29,82,J81,200,100.0,10.506813679158315
12,22,82,J81,200,100.0,13.698483379448499
12,27,82,J81,200,100.0,13.698483379448499
12,15,82,J81,200,100.0,22.209847529697807
12,20,82,J81,200,100.0,22.209847529697807
12,8,82,J81,200,100.0,125.79832028182818
13,13,82,J81,200,100.0,31.850621231433646
13,16,82,J81,200,100.0,31.850621231433646
13,8,82,J81,200,100.0,164.9974750727847
14,24,82,J81,123,100.0,0.0
14,33,82,J81,123,100.0,0.0
14,23,82,J81,200,100.0,16.034947761039046
14,28,82,J81,200,100.0,16.034947761039046
14,17,82,J81,200,100.0,37.04559060403639
14,22,82,J81,200,100.0,37.04559060403639
14,9,82,J81,200,100.0,197.40698064052972
15,22,82,J81,200,100.0,18.15972740649696
15,32,82,J81,200,100.0,30.278733679913234
15,36,82,J81,200,100.0,30.278733679913234
15,26,82,J81,200,100.0,35.14559117198121
15,15,82,J81,200,100.0,53.83486750370778
15,20,82,J81,200,100.0,53.83486750370778
